Date	Time	Barcode	Cycle	Info	
9/14/2017	20:04:24.997	CB1C1ANXX	46	Start chemistry	
9/14/2017	20:08:43.409	CB1C1ANXX	46	End chemistry	
9/14/2017	20:20:31.027	CB1C1ANXX	46	Start Imaging	
9/14/2017	20:34:45.158	CB1C1ANXX	46	End Imaging	
9/14/2017	20:34:47.488	CB1C1ANXX	47	Start chemistry	
9/14/2017	20:39:04.549	CB1C1ANXX	47	End chemistry	
9/14/2017	20:50:54.457	CB1C1ANXX	47	Start Imaging	
9/14/2017	21:05:27.109	CB1C1ANXX	47	End Imaging	
9/14/2017	21:05:29.991	CB1C1ANXX	48	Start chemistry	
9/14/2017	21:09:48.565	CB1C1ANXX	48	End chemistry	
9/14/2017	21:21:26.443	CB1C1ANXX	48	Start Imaging	
9/14/2017	21:35:51.399	CB1C1ANXX	48	End Imaging	
9/14/2017	21:35:54.095	CB1C1ANXX	49	Start chemistry	
9/14/2017	21:40:10.872	CB1C1ANXX	49	End chemistry	
9/14/2017	21:51:53.444	CB1C1ANXX	49	Start Imaging	
9/14/2017	22:06:16.616	CB1C1ANXX	49	End Imaging	
9/14/2017	22:06:19.573	CB1C1ANXX	50	Start chemistry	
9/14/2017	22:10:37.541	CB1C1ANXX	50	End chemistry	
9/14/2017	22:22:16.614	CB1C1ANXX	50	Start Imaging	
9/14/2017	22:36:33.072	CB1C1ANXX	50	End Imaging	
9/14/2017	22:36:35.429	CB1C1ANXX	51	Start chemistry	
9/14/2017	22:40:53.970	CB1C1ANXX	51	End chemistry	
9/14/2017	22:52:32.628	CB1C1ANXX	51	Start Imaging	
9/14/2017	23:06:57.739	CB1C1ANXX	51	End Imaging	
9/14/2017	23:07:00.122	CB1C1ANXX	52	Start chemistry	
9/14/2017	23:11:20.802	CB1C1ANXX	52	End chemistry	
9/14/2017	23:23:10.835	CB1C1ANXX	52	Start Imaging	
9/14/2017	23:37:35.480	CB1C1ANXX	52	End Imaging	
9/14/2017	23:37:37.933	CB1C1ANXX	53	Start chemistry	
9/14/2017	23:41:55.720	CB1C1ANXX	53	End chemistry	
9/14/2017	23:53:39.861	CB1C1ANXX	53	Start Imaging	
9/15/2017	00:07:46.971	CB1C1ANXX	53	End Imaging	
9/15/2017	00:07:49.994	CB1C1ANXX	54	Start chemistry	
9/15/2017	00:12:08.653	CB1C1ANXX	54	End chemistry	
9/15/2017	00:24:31.922	CB1C1ANXX	54	Start Imaging	
9/15/2017	00:39:07.891	CB1C1ANXX	54	End Imaging	
9/15/2017	00:39:10.178	CB1C1ANXX	55	Start chemistry	
9/15/2017	00:43:27.786	CB1C1ANXX	55	End chemistry	
9/15/2017	00:55:13.278	CB1C1ANXX	55	Start Imaging	
9/15/2017	01:09:44.118	CB1C1ANXX	55	End Imaging	
9/15/2017	01:09:46.956	CB1C1ANXX	56	Start chemistry	
9/15/2017	01:14:03.835	CB1C1ANXX	56	End chemistry	
9/15/2017	01:25:53.608	CB1C1ANXX	56	Start Imaging	
9/15/2017	01:40:24.900	CB1C1ANXX	56	End Imaging	
9/15/2017	01:40:27.893	CB1C1ANXX	57	Start chemistry	
9/15/2017	01:44:45.360	CB1C1ANXX	57	End chemistry	
9/15/2017	01:56:23.843	CB1C1ANXX	57	Start Imaging	
9/15/2017	02:10:55.631	CB1C1ANXX	57	End Imaging	
9/15/2017	02:10:58.316	CB1C1ANXX	58	Start chemistry	
9/15/2017	02:15:15.122	CB1C1ANXX	58	End chemistry	
9/15/2017	02:27:12.998	CB1C1ANXX	58	Start Imaging	
9/15/2017	02:41:43.490	CB1C1ANXX	58	End Imaging	
9/15/2017	02:41:46.345	CB1C1ANXX	59	Start chemistry	
9/15/2017	02:46:04.974	CB1C1ANXX	59	End chemistry	
9/15/2017	02:58:16.132	CB1C1ANXX	59	Start Imaging	
9/15/2017	03:13:04.990	CB1C1ANXX	59	End Imaging	
9/15/2017	03:13:08.553	CB1C1ANXX	60	Start chemistry	
9/15/2017	03:17:26.968	CB1C1ANXX	60	End chemistry	
9/15/2017	03:29:45.547	CB1C1ANXX	60	Start Imaging	
9/15/2017	03:44:54.998	CB1C1ANXX	60	End Imaging	
9/15/2017	03:44:58.084	CB1C1ANXX	61	Start chemistry	
9/15/2017	03:49:15.782	CB1C1ANXX	61	End chemistry	
9/15/2017	04:01:50.857	CB1C1ANXX	61	Start Imaging	
9/15/2017	04:17:27.034	CB1C1ANXX	61	End Imaging	
9/15/2017	04:17:30.946	CB1C1ANXX	62	Start chemistry	
9/15/2017	04:21:51.116	CB1C1ANXX	62	End chemistry	
9/15/2017	04:34:43.865	CB1C1ANXX	62	Start Imaging	
9/15/2017	04:52:29.068	CB1C1ANXX	62	End Imaging	
